        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-04-20 13:02:46 ,        2430.0   ,           2062.7   ,               57.4   ,        63.8   ,                47   ,                  1556   ,                47   ,                  1556   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              121.5   ,                  74.0   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9600   ,               49.0   ,                  7121   ,
2024-04-20 13:02:47 ,        2520.0   ,           2062.7   ,               57.8   ,        64.6   ,                47   ,                  1555   ,                47   ,                  1555   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              114.3   ,                  66.8   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9400   ,               49.0   ,                  7121   ,
2024-04-20 13:02:48 ,        2505.0   ,           2062.7   ,               58.0   ,        65.0   ,                47   ,                  1555   ,                47   ,                  1555   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              130.1   ,                  82.6   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               47.0   ,                  7121   ,
2024-04-20 13:02:49 ,        2565.0   ,           2062.7   ,               60.2   ,        69.5   ,                47   ,                  1556   ,                47   ,                  1555   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              111.6   ,                  64.1   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               51.0   ,                  7122   ,
2024-04-20 13:02:50 ,        2550.0   ,           2062.7   ,               59.1   ,        68.2   ,                47   ,                  1555   ,                47   ,                  1556   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              109.7   ,                  62.2   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               46.0   ,                  7119   ,
2024-04-20 13:02:51 ,        2595.0   ,           2062.7   ,               58.1   ,        65.5   ,                47   ,                  1554   ,                47   ,                  1556   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              108.6   ,                  61.1   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               45.0   ,                  7120   ,
2024-04-20 13:02:52 ,        2505.0   ,           2062.7   ,               57.9   ,        65.1   ,                47   ,                  1556   ,                47   ,                  1556   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              109.7   ,                  62.2   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               45.0   ,                  7119   ,
2024-04-20 13:02:53 ,        2565.0   ,           2062.7   ,               58.2   ,        65.5   ,                47   ,                  1556   ,                47   ,                  1555   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              108.6   ,                  61.1   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               47.0   ,                  7121   ,
2024-04-20 13:02:54 ,        2565.0   ,           2062.7   ,               58.7   ,        67.3   ,                47   ,                  1556   ,                47   ,                  1556   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              105.2   ,                  57.7   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9950   ,               48.0   ,                  7119   ,
2024-04-20 13:02:55 ,        2490.0   ,           2062.7   ,               58.1   ,        65.2   ,                47   ,                  1555   ,                47   ,                  1556   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              113.8   ,                  66.3   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               48.0   ,                  7120   ,
